* Measurement data measured by REW V5.19
* Source: M-Track Eight, no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -4.0 dBFS  With no timing reference
* Dated: Jun 15, 2020 2:19:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mes_b_135_135
* Smoothing: 1/48 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
280.605 90.639 80.478
280.941 90.389 80.077
281.277 90.132 79.853
281.614 89.870 79.813
281.950 89.605 79.965
282.287 89.343 80.309
282.623 89.086 80.843
282.960 88.840 81.560
283.296 88.611 82.446
283.633 88.405 83.482
283.969 88.227 84.644
284.306 88.083 85.903
284.642 87.977 87.226
284.978 87.913 88.577
285.315 87.891 89.919
285.651 87.911 91.215
285.988 87.970 92.427
286.324 88.063 93.523
286.661 88.185 94.473
286.997 88.331 95.255
287.334 88.492 95.849
287.670 88.664 96.243
288.007 88.840 96.432
288.343 89.016 96.414
288.680 89.187 96.196
289.016 89.349 95.786
289.352 89.500 95.198
289.689 89.638 94.446
290.025 89.760 93.549
290.362 89.866 92.525
290.698 89.956 91.393
291.035 90.028 90.171
291.371 90.082 88.877
291.708 90.119 87.529
292.044 90.139 86.140
292.381 90.143 84.725
292.717 90.130 83.295
293.053 90.102 81.862
293.390 90.058 80.433
293.726 90.000 79.017
294.063 89.928 77.618
294.399 89.842 76.243
294.736 89.744 74.894
295.072 89.633 73.576
295.409 89.510 72.289
295.745 89.375 71.038
296.082 89.229 69.822
296.418 89.070 68.645
296.754 88.901 67.510
297.091 88.719 66.418
297.427 88.526 65.374
297.764 88.320 64.385
298.100 88.102 63.457
298.437 87.870 62.600
298.773 87.625 61.826
299.110 87.365 61.153
299.446 87.089 60.598
299.783 86.798 60.185
300.119 86.489 59.941
300.455 86.163 59.898
300.792 85.820 60.088
301.128 85.458 60.552
301.465 85.080 61.325
301.801 84.686 62.449
302.138 84.280 63.960
302.474 83.865 65.890
302.811 83.449 68.261
303.147 83.042 71.088
303.484 82.657 74.368
303.820 82.311 78.084
304.156 82.025 82.197
304.493 81.821 86.653
304.829 81.721 91.376
305.166 81.738 96.280
305.502 81.878 101.263
305.839 82.136 106.221
306.175 82.495 111.049
306.512 82.936 115.649
306.848 83.436 119.933
307.185 83.973 123.831
307.521 84.530 127.288
307.858 85.093 130.269
308.194 85.652 132.759
308.530 86.200 134.756
308.867 86.732 136.274
309.203 87.244 137.338
309.540 87.735 137.979
309.876 88.204 138.234
310.213 88.650 138.144
310.549 89.074 137.747
310.886 89.476 137.082
311.222 89.855 136.185
311.559 90.214 135.090
311.895 90.552 133.826
312.231 90.871 132.421
312.568 91.170 130.898
312.904 91.451 129.277
313.241 91.714 127.576
313.577 91.959 125.810
313.914 92.189 123.991
314.250 92.402 122.132
314.587 92.599 120.241
314.923 92.782 118.328
315.260 92.950 116.399
315.596 93.104 114.460
315.932 93.245 112.518
316.269 93.373 110.575
316.605 93.489 108.638
316.942 93.592 106.709
317.278 93.684 104.791
317.615 93.764 102.887
317.951 93.834 100.999
318.288 93.893 99.130
318.624 93.942 97.280
318.961 93.981 95.451
319.297 94.010 93.646
319.633 94.030 91.863
319.970 94.041 90.105
320.306 94.044 88.372
320.643 94.037 86.666
320.979 94.022 84.988
321.316 93.998 83.339
321.652 93.966 81.720
321.989 93.926 80.134
322.325 93.878 78.582
322.662 93.822 77.066
322.998 93.758 75.590
323.335 93.686 74.156
323.671 93.607 72.766
324.007 93.520 71.425
324.344 93.427 70.134
324.680 93.327 68.897
325.017 93.220 67.718
325.353 93.108 66.598
325.690 92.990 65.541
326.026 92.867 64.548
326.363 92.741 63.621
326.699 92.610 62.761
327.036 92.477 61.968
327.372 92.341 61.243
327.708 92.205 60.583
328.045 92.067 59.989
