* Measurement data measured by REW V5.19
* Source: M-Track Eight, no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -4.0 dBFS  With no timing reference
* Dated: Jun 15, 2020 1:51:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mes_90_135
* Smoothing: 1/48 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
177.312 83.834 -88.654
177.649 84.035 -92.545
177.985 84.226 -96.278
178.322 84.409 -99.851
178.658 84.585 -103.266
178.995 84.756 -106.530
179.331 84.923 -109.651
179.668 85.088 -112.644
180.004 85.251 -115.524
180.341 85.412 -118.307
180.677 85.572 -121.010
181.013 85.730 -123.649
181.350 85.884 -126.238
181.686 86.034 -128.791
182.023 86.177 -131.316
182.359 86.313 -133.822
182.696 86.439 -136.312
183.032 86.555 -138.789
183.369 86.658 -141.252
183.705 86.748 -143.697
184.042 86.823 -146.121
184.378 86.883 -148.517
184.715 86.925 -150.875
185.051 86.951 -153.186
185.387 86.958 -155.438
185.724 86.947 -157.615
186.060 86.918 -159.703
186.397 86.871 -161.684
186.733 86.806 -163.541
187.070 86.726 -165.256
187.406 86.631 -166.812
187.743 86.525 -168.193
188.079 86.410 -169.386
188.416 86.289 -170.381
188.752 86.169 -171.174
189.088 86.052 -171.764
189.425 85.946 -172.161
189.761 85.855 -172.377
190.098 85.784 -172.433
190.434 85.738 -172.355
190.771 85.720 -172.170
191.107 85.735 -171.911
191.444 85.782 -171.611
191.780 85.862 -171.301
192.117 85.974 -171.014
192.453 86.115 -170.780
192.789 86.284 -170.624
193.126 86.476 -170.572
193.462 86.687 -170.643
193.799 86.914 -170.854
194.135 87.151 -171.220
194.472 87.396 -171.750
194.808 87.644 -172.451
195.145 87.892 -173.328
195.481 88.135 -174.381
195.818 88.371 -175.608
196.154 88.597 -177.005
196.490 88.810 -178.563
196.827 89.008 179.726
197.163 89.189 177.874
197.500 89.352 175.894
197.836 89.495 173.798
198.173 89.617 171.603
198.509 89.716 169.322
198.846 89.793 166.973
199.182 89.847 164.573
199.519 89.877 162.137
199.855 89.884 159.683
200.191 89.867 157.227
200.528 89.828 154.783
200.864 89.766 152.365
201.201 89.683 149.987
201.537 89.578 147.660
201.874 89.453 145.395
202.210 89.309 143.201
202.547 89.147 141.089
202.883 88.967 139.064
203.220 88.770 137.135
203.556 88.559 135.307
203.893 88.333 133.583
204.229 88.095 131.967
204.565 87.845 130.459
204.902 87.585 129.058
205.238 87.317 127.762
205.575 87.040 126.565
205.911 86.758 125.462
206.248 86.469 124.445
206.584 86.175 123.505
206.921 85.876 122.636
207.257 85.571 121.832
207.594 85.260 121.088
207.930 84.941 120.406
208.266 84.613 119.790
208.603 84.272 119.254
208.939 83.917 118.814
209.276 83.546 118.499
209.612 83.155 118.342
209.949 82.743 118.390
210.285 82.307 118.694
210.622 81.845 119.316
210.958 81.358 120.324
211.295 80.845 121.787
211.631 80.311 123.772
211.967 79.761 126.338
212.304 79.205 129.525
212.640 78.662 133.347
212.977 78.154 137.787
213.313 77.715 142.785
213.650 77.381 148.243
213.986 77.190 154.029
214.323 77.166 159.982
214.659 77.317 165.928
214.996 77.628 171.697
215.332 78.067 177.136
215.668 78.599 -177.879
216.005 79.187 -173.435
216.341 79.805 -169.581
216.678 80.431 -166.331
217.014 81.052 -163.667
217.351 81.659 -161.554
217.687 82.248 -159.940
218.024 82.817 -158.770
218.360 83.363 -157.985
